Rank,Industry,Sector,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Tickers
1,Thermal Coal,Energy,185.57,99,99,99,99,"CEIX,HNRG,ARLP,ARCH,BTU,NRP,NC"
2,Oil & Gas E&P,Energy,146.75,99,99,98,98,"HUSA,VET,MTR,NEXT,SJT,CRK,AR,OXY,EQT,SBOW,PBT,KOS,INDO,AMPY,ERF,RRC,CRT,SD,WTI,SBR,MXC,CLMT,MVO,DVN,SM,CHK,TALO,MTDR,CPG,DMLP,VIST,NOG,CLR,SWN,EPM,CTRA,HPK,VOC,OVV,TPL,BSM,GTE,MRO,MNRL,COP,PHX,APA,PVL,HES,TELL,EPSN,KRP,EGY,EOG,ESTE,MUR,FANG,DEN,BRY,CNQ,CRC,LPI,PXD,PDCE,BRN,GPOR,MGY,PNRG,REPX,CDEV,PRT,TGA,CNX,PED,GPRK,USEG,REI,CKX,CPE,BATL,CEI"
3,Oil & Gas Refining & Marketing,Energy,134.35,98,98,97,93,"BPT,PBF,CVI,DK,VLO,MPC,CLNE,PARR,SRLP,REX,CAPL,PSX,SUN,INT,VTNR,CSAN,UGP,VVV,AMTX,NGL,SHI"
4,Oil & Gas Drilling,Energy,134.08,98,96,99,97,"BORR,PTEN,PDS,HP,NBR,RIG,ICD"
5,Oil & Gas Midstream,Energy,132.0,97,97,95,89,"TRMD,STNG,TNP,GLNG,HMLP,TNK,FLNG,EURN,LNG,PBFX,GLOP,ENLC,OSG,VNOM,DHT,FRO,LPG,DKL,DCP,WES,MMLP,SHLX,ET,RTLR,ETRN,PAA,CQP,TRGP,PAGP,USWS,GEL,WMB,DTM,EPD,GLP,MPLX,HESM,MMP,NVGS,DLNG,NS,AM,PBA,KMI,BROG,OKE,TK,ENB,HEP,GPP,CEQP,TRP,SGU,SMLP,SNMP"
6,Coking Coal,Basic Materials,123.87,96,98,98,99,"AMR,AREC,HCC,SXC,METC,CCNC"
7,Solar,Technology,122.63,96,64,17,3,"ARRY,ENPH,MAXN,FSLR,SUNW,SHLS,CSIQ,SPWR,NOVA,SOL,RUN,JKS,SEDG,BEEM,FTCI,ISUN,SPI,VVPR"
8,Oil & Gas Integrated,Energy,119.19,95,93,96,96,"PBR,EQNR,CVE,XOM,IMO,SU,CVX,TGS,NFG,YPF,BP,TTE,SNP,SSL,PTR,AE,SLNG,E,EC"
9,REITâ€”Hotel & Motel,Real Estate,117.38,95,61,14,26,"AHT,APLE"
10,Oil & Gas Equipment & Services,Energy,117.14,94,82,96,93,"TH,TUSK,NINE,NEX,NRT,MARPS,ENSV,KLXE,TDW,RES,FET,LBRT,SLCA,SOI,VAL,FTI,DNOW,USAC,TTI,NOV,HAL,TS,SLB,HLX,MRC,GIFI,CHX,WTTR,WFRD,EXTN,WHD,SDPI,NGS,CCLP,PUMP,NR,AROC,DRQ,BKR,FTK,PFIE,VTOL,RNGR,OIS,NOA,XPRO,NESR,NCSM,SND,OII,GEOS,BOOM,DWSN,RCON,CLB"
11,Utilities—Diversified,Utilities,117.02,93,93,93,88,"MNTK,OTTR,SJI,SRE,BIP,ELP,BKH,CIG,UTL,EXC,MGEE,AVA,PEG,HE,NWE"
12,Utilities—Regulated Gas,Utilities,114.37,93,95,92,81,"NFE,NJR,NI,ATO,SPH,BIPC,NIMC,SR,OGS,SWX,RGCO,NWN,CPK,UGI,UGIC"
13,Trucking,Industrials,114.25,92,91,27,70,"USAK,ULH,CVLG,YELL,YGMZ,MRTN,PTSI,ARCB,TFII,KNX,HTLD,ODFL,SNDR,WERN,SAIA,PATI,DSKE,BEST,TSP,USX"
14,Utilities—Regulated Electric,Utilities,112.22,91,89,90,82,"GNE,EBR,PAM,KEN,EDN,CEPU,SO,OGE,CNP,ED,NEE,EIX,POR,WEC,DTE,XEL,ETR,PPL,LNT,EVRG,D,IDA,PNW,DUK,ES,CMS,PCG,PCGU,VIASP,PNM,FE,NGG,FTS,VIA,ENIC,KEP"
15,Electronics & Computer Distribution,Technology,111.12,91,91,82,58,"AEY,TAIT,CNXN,AVT,SCSC,WSTG,ARW"
16,Grocery Stores,Consumer Defensive,110.89,90,94,88,67,"GO,WMK,IMKTA,ASAI,SFM,ARKO,CASY,KR,NGVC,VLGEA,ACI,DNUT,DDL"
17,Agricultural Inputs,Basic Materials,110.85,90,82,93,91,"UAN,CF,MGPI,MOS,SEED,NTR,AVD,CTVA,ICL,IPI,FMC,BIOX,YTEN,RKDA,SMG,SVFD,CGA"
18,Utilitiesâ€”Regulated Electric,Utilities,110.2,89,90,90,72,"AEP,AEE,AEPPZ,AGR"
19,REITâ€”Residential,Real Estate,110.19,88,78,57,80,"AIV,AMH,AIRC"
20,Airports & Air Services,Industrials,110.1,88,74,83,85,"AAWW,ASLE,PAC,ASR,OMAB,CAAP,AER,BLDE"
21,Utilitiesâ€”Renewable,Utilities,109.72,87,42,8,2,"ADN,AQN"
22,Insuranceâ€”Specialty,Financial Services,109.38,87,92,84,70,"ACT,AMBC,AGO,AMSF,AIZ"
23,Drug Manufacturersâ€”General,Healthcare,109.23,86,96,94,92,"AMGN,ABBV"
24,Paper & Paper Products,Basic Materials,108.99,85,80,82,38,"RFP,CLW,MERC,SLVM,SUZ,ITP,GLT"
25,Confectioners,Consumer Defensive,108.82,85,85,81,88,"HSY,TR,MDLZ,RMCF"
26,Medical Distribution,Healthcare,108.57,84,95,89,87,"MCK,CAH,ABC,GEG,PDCO,PBH,HSIC,OMI"
27,Discount Stores,Consumer Defensive,108.52,83,66,69,65,"DLTR,OLLI,BJ,DG,COST,WMT,TGT,PSMT,BIG"
28,Utilities—Regulated Water,Utilities,107.9,83,88,65,34,"CDZI,CWCO,SBS,ARIS,WTRG,CWT,SJW,AWR,YORW,CDZIP,AWK,MSEX,PCYO,ZWS,GWRS"
29,Healthcare Plans,Healthcare,107.84,82,83,55,27,"ALHC,CI,CNC,UNH,HUM,CVS,MOH,OSCR,CLOV,MPLN,BHG"
30,REIT—Hotel & Motel,Real Estate,107.4,82,67,71,75,"SOHO,SOHOB,SOHON,SOHOO,HT,FCPT,SHO,BHR,HST,RHP,CLDT,DRH,XHR,RLJ,INN,SVC,PEB,PK,IHT"
31,Semiconductor Equipment & Materials,Technology,107.3,81,77,40,69,"AEHR,RBCN,PLAB,ASYS,AXTI,DQ,ACLS,KLAC,NVMI,ICHR,VECO,COHU,XPER,CAMT,LRCX,ENTG,KLIC,ACMR,TRT,OLED,AMAT,AMBA,TER,ASML,UCTT,ATOM,IPGP"
32,Financial Data & Stock Exchanges,Financial Services,107.26,80,90,68,82,"VALU,FDS,NDAQ,CBOE,CME,SPGI,ICE,MSCI,MCO,MORN"
33,Waste Management,Industrials,107.19,80,53,33,37,"SMED,QRHC,CLH,HCCI,RSG,WM,CWST,WCN,JAN,MEG,SRCL,PESI,GFLU,GFL,AQMS,AWX,CHRA"
34,Consulting Services,Industrials,106.64,79,83,74,58,"HURN,NLSN,FC,RGP,BAH,ICFI,TRI,FCN,CRAI,VRSK,EXPO,BWMN,EFX,TRU,FORR,GRNQ"
35,Food Distribution,Consumer Defensive,106.57,79,88,77,85,"UNFI,DIT,SPTN,PFGC,ANDE,SYY,CHEF,USFD,HFFG,WILC,ZEST"
36,Utilitiesâ€”Diversified,Utilities,106.46,78,70,75,41,"AES,AESC,ALE"
37,Insuranceâ€”Life,Financial Services,106.38,77,69,85,57,"AFL,AEL,AAME"
38,Banksâ€”Regional,Financial Services,105.44,77,87,78,83,"AMAL,ACNB,ABTX,ABCB,AROW,AFBI,ASB,AMNB,AMTB,ALRS"
39,Engineering & Construction,Industrials,105.43,76,75,66,48,"RCMT,HIL,IEA,DY,ENG,PWR,FLR,NVEE,FIX,LMB,KBR,ROAD,ACM,EME,STRL,BBCP,STN,MYRG,AMRC,TTEK,J,MTZ,ORN,ATCX,BLD,AGX,JCI,GVA,PRIM,IESC,WLDN,MTRX,APG,AENZ,GLDD,WLMS,TPC,DRTT"
40,Integrated Freight & Logistics,Industrials,105.06,75,80,49,61,"CHRW,HUBG,RLGT,CYRX,FWRD,UPS,ATSG,JBHT,FDX,ZTO,LSTR,AIRTP,EXPD,XPO,AIRT"
41,Lumber & Wood Production,Basic Materials,104.8,75,85,87,91,"UFPI,WFG,BCC,EVA,JCTCF"
42,Industrial Distribution,Industrials,104.59,74,60,52,53,"GWW,AIT,WCC,TITN,TRNS,WSO,PKOH,MSM,FAST,CNM,DXPE,GIC,FERG,SITE,EVI"
43,Packaging & Containers,Consumer Cyclical,104.32,74,73,63,46,"FFHL,UFPT,TUP,GEF,GPK,SON,SLGN,OI,PTVE,MYE,AMCR,REYN,PKG,KRT,BERY,ATR,AMBP,IP,SEE,WRK,CCK,PACK"
44,Auto & Truck Dealerships,Consumer Cyclical,103.62,73,41,38,39,"LMPX,RENN,KFS,PAG,RUSHB,RMBL,DRVN,SAH,CARS,AN,GPI,ABG,RUSHA,LAZY,LAD,KMX,CRMT,KXIN,VRM,JZXN,LOTZ"
45,Metal Fabrication,Industrials,103.55,72,45,61,64,"ATI,MLI,RYI,VMI,HAYN,CRS,WOR,NWPX,SGBX,HIHO,IIIN,AP,PRLB,MEC,ALPP"
46,Utilities—Independent Power Producers,Utilities,103.46,72,77,88,42,"VST,NRG,WAVE,TAC"
47,REITâ€”Specialty,Real Estate,102.96,71,75,66,37,"AMT,AFCG"
48,Electronic Components,Technology,102.86,70,58,51,41,"BELFB,BELFA,RELL,REFR,NSYS,LGL,SANM,AMOT,TTMI,CTS,SGMA,FN,PLXS,BHE,LYTS,FLEX,JBL,CLS,APH,OSIS,ROG,ELTK,CPSH,GLW,TEL,MEI,KULR,LINK,LPTH,LFUS,DAIO,VICR,DSWL,WBX,KOPN,EMAN,NEON,OUST,VIAO,MMAT,IMTE"
49,Rental & Leasing Services,Industrials,102.74,70,33,46,61,"FPAY,WSC,WLFC,MGRC,CAR,TRTN,R,URI,ALTG,GATX,TGH,CTOS,UHAL,AL,HEES,FTAI,HRI,RCII,PRG,HYRE"
50,Utilities—Renewable,Utilities,102.62,69,72,59,31,"ORA,CWEN,NEP,BEP,BEPC,AY,ELLO,HTOO,RNW,CREG,AZRE"
51,Restaurants,Consumer Cyclical,102.43,69,38,21,38,"KRUS,BBQ,ARKR,RAVE,FAT,PLAY,RICK,NATH,WING,TAST,ARCO,TXRH,FATBB,CMG,PBPB,QSR,BLMN,JACK,ARMK,MCD,RUTH,WEN,YUMC,BH,DIN,DRI,CBRL,SBUX,DPZ,YUM,BJRI,CAKE,BDL,CHUY,FATBP,EAT,CNNE,PZZA,SHAK,STKS,GTIM,DENN,GRIL,FRGI,LOCO,NDLS,RRGB,BFI,BTB,WNW"
52,Marine Shipping,Industrials,102.32,68,86,95,95,"ASC,INSW,NAT,GASS,PXSAP,DSX,PXS,SMHI,SFL,GRIN,SBLK,KEX,KNOP,GOGL,CPLP,PANL,EGLE,NETI,ZIM,NMM,MATX,SB,CMRE,GNK,ESEA,CTRM,DAC,GSL,GLBS,NM,SHIP,EDRY,TOPS,PSHG"
53,Uranium,Energy,102.31,67,48,64,96,"LEU,UEC,CCJ,UUUU,DNN,URG,NXE,UROY"
54,Shell Companies,Financial Services,102.23,67,84,79,66,"CRZN,TBSA,SWAGU,DWACU,RAM,RAMMU,DWAC,ESSCU,FOXWU,AGBA,ACBA,FOXW,CNTQU,CLAQ,OTECU,BRLI,MBTC,CNTQ,GBRG,DKDCU,CLAY,AMCI,GIW,GRCY,FVAM,ATA,VHAQ,VCKA,MAQC,ACKIT,SWAG,CLOE,MPAC,TRON,INKA,VENA,BHSE,VTAQ,ACEV,BSGAU,SMIH,CFFE,OTEC,BSGA,JATT,LJAQ,ETAC,CENQU,LMAO,WQGA,TINV,ERES,SWSS,EDTX,RCHG,SLCR,BLNG,IPVI,IGNY,SCOA,ISLE,NVSA,COOL,PGRW,BENE,GPAC,KIII,MLAC,FINM,HIGA,TWND,TEKK,MUDS,OXAC,FACT,NOAC,PRSR,WARR,OSTR,BWAC,HAAC,VII,CLAS,EBAC,HCAR,JCIC,PMVC,LFTR,ASAQ,GBRGU,PUCK,PAQC,GAPA,HZON,AEAC,THCA,BREZ,MACA,AVAN,DHCA,GLHA,NMMC,KAII,OXUS,PMGM,BOAC,EQD,LHC,PNTM,ROCG,ANAC,BYTS,SHAC,VCKAU,ARBG,IMPX,KSI,PIAI,WRAC,BGSX,EUCR,HIII,TWLV,CONX,IBER,OMEG,FTEV,NBST,ADOC,NRAC,CTAQ,KRNL,PDOT,VTIQ,FLAC,TMPM,VYGG,DTOC,ORIA,SLAC,EPHY,IGAC,SNRH,ZWRK,CLRM,DLCA,CENQ,SCAQ,TIOA,COVA,CRHC,JOFF,TMKR,POW,CFIV,KAIR,PV,HHLA,OEPW,SLAM,APMI,TMAC,AGAC,CHAA,FCAX,FRON,GFX,KLAQ,MON,PRPC,TWNI,BTWN,CLIM,COLI,DNZ,LGAC,PTIC,SCOB,TSPQ,ACII,GNAC,FSNB,ARRW,CRU,EAC,PSAG,SWET,HERA,LUXA,AAC,CCV,OSI,SRSA,TZPS,FSSI,JWSM,NSTC,LEGA,ESM,FLACU,GSQB,MSAC,AGGR,LCAA,PLMI,SPTK,BLUA,EQHA,IPVA,VAQC,ROSS,CPAR,FMIV,HMCO,PHIC,TWOA,REVH,EPWR,OCAX,GAMC,IIII,ITQ,APGB,PCPC,ANZU,DHBC,HCII,LDHA,AKIC,AAQC,ACAH,ATAQ,BSKYU,CONXU,TRCA,XPAX,MBTCU,TSIB,ZT,ADEX,ENPC,MDH,MPACU,PFTA,PICC,FLME,MEACU,SWSSU,WPCB,RMGC,HLAH,NDAC,FVT,SDAC,SPGS,JAQC,NSTD,SBII,CPUH,TBCP,APTM,CLBR,GHAC,ACQR,PTOC,STRE,TLGA,BITE,TETC,AFTR,DCRD,CLAA,DHHC,KVSC,NAAC,SSAA,JYAC,CSTA,CVII,PACX,AMPI,GIWWU,DISA,HTPA,EOCW,ISAA,MSDA,POND,AFAQ,MTAL,SCOBU,ADER,CPTK,LOKM,EVOJ,FRXB,KAHC,KCGI,MACC,CCVI,KINZ,LCA,PGRWU,SPKB,DRAYU,PSPC,ABGI,BENEU,BOAS,FZT,MIT,TBSAU,VELO,FSRX,RCLF,TRONU,FVIV,ALTU,NGC,OSTRU,AGCB,BLTS,LHAA,RXRA,SVFA,GSQD,MCAE,SCLE,TWCB,IXAQU,GSEV,MBAC,NSTB,PIPP,HCIC,JCICU,PBAXU,VCXA,FRW,AMAO,FACA,MTAC,FTPA,OXUSU,SHQAU,GXII,ASZ,KVSA,LVRA,SLCRU,KIIIU,DNAB,PCXCU,DRAY,ERESU,LGV,OHPA,ALPA,BIOT,GLBL,SAMAU,GTPB,PFDR,SHQA,QFTA,ROCGU,VENAU,GPACU,TRTL,ASAX,HSAQ,COLIU,SPTKU,BSKY,IACC,HPX,VPCB,WPCA,FRSG,VLAT,ETACU,DISAU,XPAXU,LEGAU,NVSAU,SCOAU,JAQCU,GIIX,BWC,JMACU,LGACU,CRZNU,WWACU,ESSC,PRSRU,SVFB,HAACU,ZTAQU,EDTXU,COOLU,IPVF,HIIIU,PSAGU,TCVA,KINZU,KAIIU,AMAOU,GLBLU,JUGG,PLMIU,OPA,FINMU,CORS,RMGCU,BLNGU,ACQRU,DLCAU,IPOD,NDACU,TMKRU,AUS,JOFFU,RXRAU,AURC,DHCAU,GLHAU,DHHCU,EPHYU,FWAC,TWLVU,SCAQU,FTAA,LDHAU,OCAXU,MAQCU,PMGMU,SPKBU,TPGY,PAQCU,SLAMU,TZPSU,DGNU,DHBCU,OEPWU,TETCU,TPBAU,AGGRU,COVAU,HLAHU,NRACU,OHPAU,PANA,XFINU,GNACU,DTOCU,IPVIU,YTPG,IGACU,ZWRKU,IPOF,REVHU,GAMCU,BRIVU,BYTSU,FRWAU,FSRXU,PFDRU,TBCPU,ARRWU,ACKIU,EBACU,BLSA,MACAU,LJAQU,FRONU,POWRU,WINVU,GXIIU,GACQU,LCAHU,PPHPU,SVFAU,EACPU,CFFEU,ARYD,ALPAU,VELOU,VTIQU,CFIVU,HERAU,APTMU,CTAQU,VLATU,ADERU,CLAQU,DUNE,AEACU,RCLFU,BTWNU,ANZUU,NBSTU,APMIU,SCLEU,SKYAU,DCRDU,AFAQU,NAACU,CPARU,GTPBU,GGMCU,LMAOU,TSIBU,FTCV,SWETU,TIOAU,VCXAU,FPAC,FMIVU,SNRHU,DALS,ACAHU,KRNLU,MEAC,CLRMU,GTPA,KLAQU,PFTAU,SSAAU,MSDAU,FRSGU,GSEVU,KSICU,MCAEU,EVOJU,SMIHU,PUCKU,VPCBU,LUXAU,LVRAU,TWCBU,FSSIU,GTPAU,LFTRU,PTOCU,LITTU,MONCU,SHACU,GHACU,HCARU,LCAAU,JUGGU,BWCAU,NOACU,SDACU,GIIXU,HCICU,HUGS,HCNEU,KAIRU,ITQRU,INKAU,PACXU,RACB,ORIAU,CND,LMACA,VTAQU,ALTUU,HCIIU,HMCOU,BIOTU,ASAXU,SPK,RCHGU,FTAAU,PHICU,BLTSU,MTACU,DUNEU,IGNYU,MLACU,IIIIU,PTICU,VIIAU,EUCRU,TEKKU,AURCU,LMACU,AKICU,SRSAU,FST,FTPAU,ARBGU,TMPMU,CFVI,BHSEU,ACEVU,NLIT,BWACU,NMMCU,FTCVU,CFVIU,WALD,MUDSU,WINV,KORE"
55,Beverages—Non-Alcoholic,Consumer Defensive,101.88,66,57,46,30,"CELH,FIZZ,KOF,KDP,PEP,KO,COKE,MNST,CCEP,PRMW,WTER,REED,OTLY,NBEV"
56,REITâ€”Retail,Real Estate,101.83,66,74,72,62,"ADC,ALX,AKR"
57,REIT—Healthcare Facilities,Real Estate,101.79,65,79,76,56,"LTC,NHI,SBRA,CTRE,OHI,GEO,HR,HTIA,DOC,UHT,CHCT,WELL,VTR,PEAK,GMRE,MPW,DHC"
58,Railroads,Industrials,101.76,64,50,58,69,"CP,RAIL,CNI,UNP,NSC,CSX,WAB,TRN,FSTR,USDP,KIQ,GBX"
59,Banks—Regional,Financial Services,101.11,64,79,69,79,"BANF,PFHD,GCBC,CCBG,FHN,SYBT,CVBF,ESQ,NECB,ESSA,RNDB,CARE,HAFC,NBN,IBN,MTB,BFC,BCBP,FBIZ,OVBC,SMMF,MCBC,SFBS,FBP,ORRF,CBTX,FRBA,SMBC,MPB,FCNCA,TCBK,MBCN,HBCP,NBTB,ISTR,TRMK,NWBI,EMCF,CLBK,PFIS,FCBC,HOMB,UNTY,CFR,OPBK,THFF,CBNK,CNNB,PRK,BSVN,HBT,FGBI,SPFI,HFBL,QCRH,WSFS,CHCO,BANR,MGYR,HBNC,TRST,ITUB,UBSI,LKFN,PBHC,TCBC,CCNE,BHB,OFG,UCBI,PFS,CWBC,BHLB,GSBC,LMST,CATY,FIBK,PFBC,BWB,HFWA,TECTP,FULT,IBOC,TCBI,MSBI,WASH,ONB,MBWM,CTBI,HTBK,KFFB,FRAF,BSBK,CBSH,LARK,OSBC,OBNK,HWBK,PB,FFBW,FNB,SRCE,MOFG,CCB,WNEB,PGC,MBIN,SSB,SMBK,OVLY,CAC,CALB,WSBC,BAP,PKBK,CFBK,RF,STBA,EFSC,PEBO,HOPE,FCF,FSEA,LBC,NBHC,RRBI,CMA,EBC,WTFC,BPRN,LBAI,DCOM,SHBI,FNLC,VLYPO,WAFD,PCSB,WABC,BOKF,IBCP,NFBK,HWC,MBINO,MNSBP,PTRS,FITBO,EQBK,FHB,OBT,RNST,TBBK,BWFG,SSBI,INDB,OFED,FGBIP,SBT,FRME,GBNY,HVBC,FITBI,EVBN,GNTY,FFBC,UCBIO,OPOF,UMPQ,NWFL,OCFC,FMAO,CZNC,PFC,PWOD,MNSB,GBCI,WSBCP,CSTR,HONE,BOH,CZWI,IBTX,OZK,RVSB,SBSI,UBCP,HTLF,GABC,BSMX,RBB,ASRV,TSBK,ZIONO,CIZN,FITBP,SI,BFST,SBCF,OPHC,BPOP,MBNKP,TBKCP,WTFCM,SFBC,PBBK,TCFC,HDB,INBK,FBK,NRIM,CFB,HBANM,UMBF,MRBK,CBFV,WTFCP,MBINP,CIVB,TOWN,BUSE,CBU,TMP,CADE,SBFG,CULL,CHMG,AUBAP,FFIN,VABK,OCFCP,FNCB,FSBW,COLB,WSBF,BFIN,PNFPP,NKSH,AX,TCBIO,LSBK,FLIC,ATLO,SUPV,KRNY,SNV,FRST,BCH,ZION,FVCB,CNOBP,WMPN,PEBK,PPBI,CFFI,COFS,CATC,LCNB,CCNEP,HBAN,FDBC,UVSP,BKU,BWBBP,FBC,WBS,FMBH,VLY,HMNF,PDLB,FFIC,HTLFP,BCOW,BCML,BRBS,EBTC,AUB,NYCB,BLX,IFS,WTBA,BMA,MLVF,PCB,FRC,PNFP,BBD,FUNC,HIFS,RBCAA,FCNCP,VLYPP,PROV,FSBC,FFNW,MCBS,TFC,SIVBP,BSRR,UBFO,CVLY,PNC,PLBC,MBINN,FCCO,FISI,BBDO,SASR,WAL,VBFC,EGBN,DCOMP,TBNK,BANC,ITCB,CVCY,EBMT,MSVB,MCB,TFSL,BMRC,FBNC,PVBC,RMBI,CPF,SAL,RBKB,CNOB,FSFG,AUBN,GGAL,BRKL,FBMS,KEY,CIB,FMNB,BY,FITB,SBNYP,SFNC,MYFW,MFG,FULTP,VBTX,BBAR,BSBR,PBFS,BKSC,GLBZ,LYG,SFST,PNBK,USB,CFFN,BLFY,HTH,BOTJ,UNB,CFG,HTBI,MVBF,FNWB,FRBK,FFWM,CBAN,FUSB,HMST,TBK,CUBI,IROQ,FXNC,SHG,SIVB,WF,BSAC,KB,SBNY,PACW,LOB,FCAP,CASH,AVAL,DB,UBOH,BYFC,CARV"
60,Communication Equipment,Technology,100.66,63,44,25,25,"CLFD,PI,SWIR,DGII,EXTR,POLY,LTRX,ADTN,UI,UTSI,COMM,HLIT,KVHI,ITRN,PCTI,PWFL,CRNT,MSI,SONM,AVNW,SILC,LITE,DZSI,CMBM,BKTI,NTGR,VIAV,AKTS,CIEN,HPE,ITI,CSCO,JNPR,OCC,MAXR,NOK,GILT,CASA,TESS,NTIP,WTT,AUDC,BOSC,VSAT,KN,AMPG,INSG,ERIC,INFN,CLRO,SATS,AIRG,ZBRA,ONDS,CAMP,FEIM,FKWL,CMTL,VISL,BOXL,SYTA,MINM"
61,Steel,Basic Materials,100.11,62,76,91,95,"HUDI,CMC,MSB,STLD,RS,NUE,SIM,FRD,ZEUS,GGB,USAP,X,TMST,MTL,SCHN,CLF,TX,PKX,MT,SID,ZKIN"
62,Conglomerates,Industrials,99.65,62,52,72,74,"VRTV,SPLP,CRESY,STCN,IEP,SEB,CODI,IRS,BBU,TRC,MATW,IGC,NNBR"
